"user_id","signup_date","core_action_date"
iek45x6axn,"2022-02-2gg 09:59:44","2022-02-25 10:02:54"
cwi59edfyd,"2022-02-25 10:01:57","2022-02-25 10:02:57"
cwi59edfyd,"2022-02-25 10:01:57","2022-02-25 10:03:23"
"7ajs8zc5i5","2022-02-24 15:32:37","2022-02-25 10:03:29"
"114frzfwx4","2022-02-25 09:59:51","2022-02-25 10:03:43"
"7ajs8zc5i5","2022-02-24 15:32:37","2022-02-25 10:03:59"
iek45x6axn,"2022-02-25 09:59:44","2022-02-25 10:04:01"
iek45x6axn,"2022-02-25 09:59:44","2022-02-25 10:04:13"
qnwe9ozh7u,"2022-02-25 10:03:48","2022-02-25 10:04:16"
"8ti1519oaj","2022-02-24 14:21:25","2022-02-25 10:04:22"
"7ajs8zc5i5","2022-02-24 15:32:37","2022-02-25 10:04:34"
qnwe9ozh7u,"2022-02-25 10:03:48","2022-02-25 10:05:06"
qnwe9ozh7u,"2022-02-25 10:03:48","2022-02-25 10:05:19"
wthdgn4nzs,"2022-02-25 10:05:11","2022-02-25 10:05:38"
rc1t1cnjbm,"2022-02-25 10:05:06","2022-02-25 10:05:44"
cwi59edfyd,"2022-02-25 10:01:57","2022-02-25 10:05:57"
"1s9uabcxox","2022-02-25 10:05:31","2022-02-25 10:06:13"
wthdgn4nzs,"2022-02-25 10:05:11","2022-02-25 10:06:29"
rc1t1cnjbm,"2022-02-25 10:05:06","2022-02-25 10:06:35"
f45bh1mmkk,"2022-02-24 12:18:04","2022-02-25 10:06:38"
rc1t1cnjbm,"2022-02-25 10:05:06","2022-02-25 10:06:44"
wthdgn4nzs,"2022-02-25 10:05:11","2022-02-25 10:07:09"
c514euubhp,"2022-02-25 10:06:31","2022-02-25 10:07:23"
"1t5iryouba","2022-02-25 10:06:24","2022-02-25 10:07:29"
n69m78gurb,"2022-02-25 09:46:04","2022-02-25 10:07:40"
"1t5iryouba","2022-02-25 10:06:24","2022-02-25 10:07:44"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:07:54"
"1t5iryouba","2022-02-25 10:06:24","2022-02-25 10:08:10"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:08:12"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:08:16"
zf3ta4317s,"2022-02-24 17:07:19","2022-02-25 10:08:35"
cz6bfqpax9,"2022-02-25 10:08:10","2022-02-25 10:08:37"
cz6bfqpax9,"2022-02-25 10:08:10","2022-02-25 10:09:10"
qbjr4czayz,"2022-02-25 09:55:49","2022-02-25 10:09:11"
ba1znwykxh,"2022-02-25 10:08:39","2022-02-25 10:09:12"
cz6bfqpax9,"2022-02-25 10:08:10","2022-02-25 10:09:16"
"9f3yg811hw","2022-02-25 08:10:38","2022-02-25 10:09:32"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:10:28"
zf3ta4317s,"2022-02-24 17:07:19","2022-02-25 10:10:36"
"1s9uabcxox","2022-02-25 10:05:31","2022-02-25 10:11:02"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:12:28"
f6or99mzu6,"2022-02-25 10:11:59","2022-02-25 10:12:33"
"1s9uabcxox","2022-02-25 10:05:31","2022-02-25 10:13:08"
yewjcgq18d,"2022-02-25 10:10:42","2022-02-25 10:13:17"
"1s9uabcxox","2022-02-25 10:05:31","2022-02-25 10:13:42"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:13:49"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:17:24"
"3o763y8rda","2022-02-24 10:43:30","2022-02-25 10:17:37"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:18:31"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:19:20"
pea7e88sgs,"2022-02-25 10:17:47","2022-02-25 10:19:35"
onjsw7ftg1,"2022-02-25 10:07:02","2022-02-25 10:19:47"
fztjrmsfpi,"2022-02-25 10:19:37","2022-02-25 10:20:06"
